1,2017-07-25,117,812,1,5,0,4,198,247.81199646,1.17900002
2,2018-12-09,117,162,1,5,0,5,247.5,2072.444091797,10.505999565
3,2017-07-27,117,1158,1,5,1,10,495,2842.374023438,28.635000229
4,2018-07-08,117,833,1,5,0,146,7227,2179.447998047,322.243988037
5,2018-07-01,117,477,1,46,0,39,3179.669952381,1322.892944336,87.306999207
6,2017-02-02,117,582,1,46,0,47,3831.909942613,666.486022949,54.909999847
7,2018-06-27,117,1083,1,46,1,109,8886.769866911,1618.21496582,296.50100708
8,2018-01-01,117,258,1,46,4,1,81.529998779,196.367004395,0.40200001
9,2017-05-30,117,642,1,46,0,9,733.769989011,1368.349975586,20.815000534
10,2018-08-13,117,688,1,46,3,7,570.709991453,1660.930053711,19.528999329
11,2018-12-03,117,896,1,46,1,29,2364.369964591,1338.024047852,65.636001587
12,2017-01-06,117,204,1,46,0,1,81.529998779,1322.298950195,2.237999916
13,2017-11-03,117,751,1,46,0,235,19159.549713065,636.611022949,263.102996826
14,2017-03-01,117,663,1,46,8,33,2690.489959707,1637.009033203,90.777999878
15,2017-03-23,117,779,1,64,0,1,89.830001831,1556.142944336,2.885999918
16,2017-02-28,117,348,1,64,0,385,34584.550704935,1523.081054688,1088.08605957
17,2018-03-23,117,129,1,64,0,7,628.810012817,1831.630004883,23.663999557
18,2018-02-16,117,317,1,64,2,77,6916.910140987,1338.024047852,192.016998291
19,2018-01-16,117,894,1,64,3,3,269.490005493,1523.081054688,8.479000092
20,2017-10-13,117,832,1,64,2,628,56413.241149868,6106.896972656,6946.609863281
21,2018-08-13,117,234,1,64,0,1223,109862.092239313,1413.901000977,3216.543945313
22,2017-07-14,117,517,1,98,8,3,57.810001374,1534.045043945,1.83099997
23,2018-12-20,117,932,1,98,4,5,96.35000229,2324.834960938,4.576000214
24,2018-01-23,117,416,1,98,2,33,635.910015114,1332.776000977,17.586000443
25,2018-10-12,117,784,1,98,1,13,250.510005954,2324.834960938,11.897999763
26,2018-07-18,117,1109,1,98,0,273,5260.710125034,1831.630004883,197.973999023
27,2018-12-13,117,851,1,98,0,59,1136.930027022,2252.416015625,52.354000092
28,2018-11-10,117,993,1,98,3,156,3006.120071448,1900.574951172,117.273002625
29,2018-09-22,117,1079,1,98,1,1,19.270000458,2860.566894531,1.121999979
30,2018-11-08,117,738,1,98,0,10,192.70000458,196.367004395,0.949000001
31,2018-07-25,117,212,1,98,0,96,1849.920043968,2637.479980469,99.431999207
32,2018-05-01,117,401,1,98,0,47,905.690021526,2123.084960938,39.362998962
33,2017-02-27,117,52,1,98,3,1456,28057.120666848,1293.812988281,754.070007324
34,2018-07-22,117,189,1,133,0,2,79.059997558,1865.577026367,3.029000044
35,2018-01-13,117,780,1,133,0,3,118.589996337,1831.630004883,4.462999821
36,2018-03-19,117,83,1,33,2,12,476.519989008,1703.32800293,16.709999084
37,2017-08-01,117,558,1,33,0,1,39.709999084,2482.127929688,2.010999918
38,2017-04-09,117,96,1,33,0,22,873.619979848,2176.511962891,38.902999878
39,2017-01-15,117,1199,1,33,3,34,1350.139968856,1251.833984375,35.152999878
40,2017-11-22,117,396,1,33,1,28,1111.879974352,2021.682006836,46.069000244
41,2017-06-30,117,864,1,33,0,4082,162096.216260888,1418.458007813,4760.629882813
42,2018-06-17,117,565,1,33,0,2,79.419998168,1368.349975586,2.253000021
43,2018-02-10,117,58,1,33,5,4,158.839996336,2072.444091797,6.743000031
44,2017-08-18,117,779,1,33,0,53,2104.629951452,1556.142944336,67.607002258
45,2017-03-20,117,612,1,33,0,126,5003.459884584,849.007019043,89.962997437
46,2018-05-02,117,813,1,33,1,1318,52337.778792712,1321.04699707,1435.151000977
47,2018-11-24,117,947,1,36,4,2,114.599998474,1218.609008789,2.907999992
