1,2017-07-24,658,988,7,1,71,1349,1242.832,12.719
2,2018-08-23,1163,156,1,183,5,33.39999914,119.526,0
3,2018-12-02,1122,156,1,183,472,3152.959918816,163.336,0
4,2017-03-16,296,156,1,183,853,5698.039853284,3964.332,208.795
5,2017-06-25,1017,156,1,183,2142,14308.559631576,1317.175,145.543
6,2017-11-03,1190,156,1,183,1310,8750.79977468,1825.573,133.5
7,2017-12-29,1017,885,6,184,2,166.940002442,1055.029,1.2605
8,2017-07-28,1017,885,6,184,5,417.350006105,1055.029,3.151
9,2017-10-27,1099,885,6,184,5,417.350006105,1172.198,3.64
10,2018-01-19,1163,885,6,184,12,1001.640014652,1151.659,8.5305
11,2017-01-06,921,885,6,184,60,5008.20007326,1399.977,55.089
12,2018-07-09,621,885,6,184,15,1252.050018315,2624.581,29.105
13,2018-01-28,658,885,6,184,110,9181.70013431,1399.977,100.9965
14,2017-07-01,697,885,6,184,985,82217.951202685,1507.544,992.818
15,2017-02-21,1190,885,6,184,181,15108.070221001,905.54,91.4855
16,2017-07-22,1099,1114,8,185,6,5.100000144,1953.463,0.0845
17,2018-10-05,1122,1114,8,185,501,425.850012024,2203.02,8.104
18,2017-08-11,1122,1114,8,185,1220,1037.00002928,2203.02,19.7345
19,2018-01-12,658,885,6,186,1,98.569999695,1399.977,1.084
20,2018-07-23,1017,885,6,186,8,788.55999756,1055.029,5.954
21,2018-09-20,296,885,6,186,17,1675.689994815,2809.603,42.053
22,2018-01-20,1163,885,6,186,1398,137800.85957361,1151.659,1173.5935
23,2017-03-25,1099,658,5,187,34,975.460018156,284.278,0
24,2017-06-11,296,658,5,187,39,1118.910020826,4053.836,42.002
25,2018-03-23,1099,658,5,187,360,10328.40019224,284.278,0
26,2017-08-01,1190,658,5,187,66,1893.540035244,2010.436,32.388
27,2017-09-02,1017,658,5,187,50,1434.5000267,1508.701,17.339
28,2017-10-22,1122,658,5,187,208,5967.520111072,50.987,0
29,2018-12-26,697,658,5,187,111,3184.590059274,1812.974,48.182
30,2018-03-31,1122,658,5,187,167,4791.230089178,50.987,0
31,2017-01-17,1190,658,5,187,1907,54711.831018338,2010.436,935.811
32,2017-11-27,296,658,5,187,444,12738.360237096,4053.836,478.177
33,2018-12-08,1122,210,2,188,6,191.100002286,1943.444,3.1405
34,2018-06-19,296,210,2,188,3,95.550001143,4065.09,3.5975
35,2017-08-18,697,210,2,188,14,445.900005334,174.483,0
36,2017-01-13,658,210,2,188,9,286.650003429,1986.411,4.834
37,2018-11-21,1190,210,2,188,956,30448.600364236,1083.586,238.591
38,2018-02-10,921,210,2,188,156,4968.600059436,1986.411,83.791
39,2017-04-22,1122,988,7,189,12,37.920001032,1243.139,0.3575
40,2018-04-24,921,988,7,189,2,6.320000172,1242.832,0.0595
41,2017-09-16,697,988,7,189,7,22.120000602,1519.695,0.27
42,2018-03-27,658,988,7,189,19,60.040001634,1242.832,0.566
43,2018-10-28,621,988,7,189,33,104.280002838,2735.125,2.5395
44,2017-03-06,658,988,7,189,36,113.760003096,1242.832,1.0725
45,2017-09-20,621,988,7,189,115,363.40000989,2735.125,8.849
46,2017-11-16,1190,988,7,189,188,594.080016168,1024.691,4.305
47,2017-02-14,1099,988,7,189,1294,4089.040111284,1022.713,29.552
48,2017-01-03,1122,988,7,189,2858,9031.280245788,1243.139,85.1775
49,2018-06-22,621,885,6,190,4,297.880004884,2624.581,6.9245
50,2018-06-10,697,885,6,190,1,74.470001221,1507.544,0.8995
