1793,1934,33.72069931,-116.216766357,9549 John Groves Apt. 808,Indio,US,America,Los_Angeles
1794,1840,38.588939667,-89.990379333,907 Nelson Brooks Suite 273,Fairview Heights,US,America,Chicago
1795,1987,41.843639374,-87.712547302,112 Marie Keys Apt. 487,South Lawndale,US,America,Chicago
1796,2292,47.494300842,-122.240921021,4738 Mayer Lights,Bryn Mawr-Skyway,US,America,Los_Angeles
1797,1385,33.931129456,-117.548660278,90622 Anthony Islands,Norco,US,America,Los_Angeles
1798,2328,31.845680237,-102.367637634,73590 Darin Light,Odessa,US,America,Chicago
1799,2200,41.900100708,-71.089767456,89233 Flores Green Apt. 398,Taunton,US,America,New_York
1800,1668,28.151119232,-82.461479187,742 Margaret Mews Suite 460,Lutz,US,America,New_York
1801,1970,35.250640869,-91.736251831,635 Williams Parkway Apt. 449,Searcy,US,America,Chicago
1802,2262,28.900539398,-81.263671875,6916 Lisa Terrace,Deltona,US,America,New_York
1803,1698,39.960971832,-75.608039856,6553 Kevin Fields Apt. 368,West Chester,US,America,New_York
1804,1935,38.70734024,-77.023033142,950 Michelle Crescent,Fort Washington,US,America,New_York
1805,2216,33.448719025,-86.787773132,438 Kayla Field,Vestavia Hills,US,America,Chicago
1806,1665,27.718090057,-82.351760864,77521 Nancy Ranch,Sun City Center,US,America,New_York
1807,2110,44.990119934,-123.02620697,91757 Kennedy Mills,Keizer,US,America,Los_Angeles
1808,1497,33.98154068,-81.236213684,7603 Newton Key Apt. 078,Lexington,US,America,New_York
1809,2297,39.320110321,-76.515518188,04876 Destiny Row,Rosedale,US,America,New_York
1810,1579,39.729431152,-104.831916809,73849 Edward Vista,Aurora,US,America,Denver
1811,1727,32.525150299,-93.750183105,849 Kim Squares Apt. 742,Shreveport,US,America,Chicago
1812,1897,28.549440384,-81.772850037,51955 Padilla Rapid Apt. 834,Clermont,US,America,New_York
1813,1547,33.722549438,-116.376968384,4841 Berry Glens,Palm Desert,US,America,Los_Angeles
1814,2210,31.845680237,-102.367637634,1203 Nicole Cliff,Odessa,US,America,Chicago
1815,1842,30.177459717,-81.387580872,072 Ryan Union,Palm Valley,US,America,New_York
1816,2006,32.448738098,-99.733139038,5429 Loretta Trafficway,Abilene,US,America,Chicago
1817,1491,45.040798187,-93.263000488,48476 Allison Summit Suite 010,Columbia Heights,US,America,Chicago
1818,1421,34.216388702,-119.037597656,76858 Warren Point,Camarillo,US,America,Los_Angeles
