1,1,BikeSnow204,Bike,39152,19,1
2,2,WatchOldLace49994,Watch,29411,71.300003052,1
3,3,ClotherTan25930,Clother,48116,27.270000458,1
4,4,JewelryPowderBlue29221,Jewelry,49689,17.430000305,1
5,5,JewelryCornflowerBlue44265,Jewelry,49255,49.5,1
6,6,WatchCadetBlue52229,Watch,43691,55.38999939,1
7,7,StickerCoral1406,Sticker,56679,60.099998474,1
8,8,JewelryOrchid8094,Jewelry,15472,20,1
9,9,WatchSeaShell48034,Watch,55568,90.309997559,1
10,10,PhoneLightSeaGreen50760,Phone,14376,21.510000229,1
11,11,ClotherMediumOrchid44054,Clother,28677,24.120000839,1
12,12,JewelryNavy1826,Jewelry,11361,3.539999962,1
13,13,WatchMediumTurquoise16882,Watch,33903,92.260002136,1
14,14,LaptopDeepSkyBlue16737,Laptop,53529,55.599998474,1
15,15,ClotherGold52680,Clother,49581,92.809997559,1
16,16,StickerPapayaWhip51898,Sticker,50102,53.509998322,1
17,17,StickerLightSalmon40438,Sticker,10937,2.349999905,1
18,18,LampAntiqueWhite28723,Lamp,42577,23.430000305,1
19,19,StickerSeaGreen43032,Sticker,42531,26.809999466,1
20,20,JewelryLavender6188,Jewelry,47957,67.569999695,1
21,21,BikeLinen53180,Bike,59298,29.350000381,1
22,22,LampCornflowerBlue8116,Lamp,50755,30.200000763,1
23,23,MattressLimeGreen17898,Mattress,13907,60,1
24,24,LampLightSeaGreen42613,Lamp,50964,74.629997253,1
25,25,WatchDarkCyan34704,Watch,46028,46.650001526,1
26,26,LaptopSilver47018,Laptop,13502,50.979999542,1
27,27,PhoneGold42459,Phone,17487,64.459999084,1
28,28,LaptopLightSeaGreen13660,Laptop,18508,54.38999939,1
29,29,LampPeachPuff13030,Lamp,45147,91.599998474,1
30,30,StickerAqua1524,Sticker,46531,31.690000534,1
31,31,JewelryThistle55777,Jewelry,28232,68.300003052,1
32,32,BikeSnow9598,Bike,44083,75.489997864,1
33,33,StickerBlack20286,Sticker,10752,39.709999084,1
34,34,LampBlanchedAlmond38963,Lamp,51127,52.569999695,1
35,35,ClotherCornflowerBlue24085,Clother,35022,39.25,1
36,36,LaptopOrange53938,Laptop,43394,57.299999237,1
37,37,WatchDarkSlateGray10882,Watch,54522,49.310001373,1
38,38,StickerBlueViolet41126,Sticker,34078,89.099998474,1
39,39,PhoneSaddleBrown6224,Phone,41907,25,1
40,40,WatchTeal41287,Watch,57557,65.61000061,1
41,41,WatchMediumPurple31035,Watch,34825,7.889999866,1
42,42,StickerHoneyDew2991,Sticker,38505,14.720000267,1
43,43,ClotherSnow7186,Clother,11328,20.209999084,1
44,44,MattressMediumSpringGreen44520,Mattress,38957,24.799999237,1
45,45,JewelryGold48616,Jewelry,47370,14.409999847,1
46,46,BikeTeal2007,Bike,10834,81.529998779,1
47,47,ClotherBisque9598,Clother,31284,18.409999847,1
48,48,JewelryBeige26326,Jewelry,35285,24.25,1
49,49,ClotherPaleTurquoise54082,Clother,53618,45.520000458,1
50,50,StickerLime6896,Sticker,44561,93.910003662,1
51,51,MattressSaddleBrown16009,Mattress,38194,76.88999939,1
52,52,WatchTomato55473,Watch,24695,47.290000916,1
53,53,LaptopYellow4944,Laptop,20231,55.759998322,1
54,54,BikeTeal35400,Bike,27085,31.629999161,1
55,55,JewelrySpringGreen51220,Jewelry,13567,83.660003662,1
56,56,PhoneIndigo36772,Phone,29709,62.740001678,1
57,57,BikeMagenta7093,Bike,26884,1.330000043,1
58,58,ClotherSeaShell36110,Clother,29598,47.240001678,1
