52,11711,LaptopSandyBrown47213,Laptop,SandyBrown,33366,118,4241,2017-05-27 00:00:00,2017-06-26 00:00:00,True
37,12290,JewelryPink47915,Jewelry,Pink,49272,12,9374,2017-11-05 00:00:00,2017-12-05 00:00:00,False
52,12322,WatchDeepPink40396,Watch,DeepPink,36648,121,2690,2017-12-16 00:00:00,2017-12-31 00:00:00,True
55,12521,StickerFireBrick42850,Sticker,FireBrick,604,267,6544,2017-05-18 00:00:00,2017-06-17 00:00:00,True
55,12662,JewelryLightGreen31028,Jewelry,LightGreen,43331,487,9380,2017-08-18 00:00:00,2017-09-17 00:00:00,False
55,13960,WatchPapayaWhip27889,Watch,PapayaWhip,21832,458,6995,2017-11-09 00:00:00,2017-12-09 00:00:00,True
52,14094,LampMediumVioletRed42836,Lamp,MediumVioletRed,44188,391,1941,2017-08-29 00:00:00,2017-09-25 00:00:00,False
65,14204,BikeLime56410,Bike,Lime,35040,256,3888,2017-05-13 00:00:00,2017-12-26 00:00:00,True
37,17203,WatchLavenderBlush39883,Watch,LavenderBlush,22627,349,9270,2017-04-18 00:00:00,2017-05-18 00:00:00,True
65,20169,LampSnow48600,Lamp,Snow,37543,414,2274,2017-01-19 00:00:00,2017-12-07 00:00:00,True
55,22492,JewelryRoyalBlue43848,Jewelry,RoyalBlue,10468,308,3506,2017-11-20 00:00:00,2017-12-20 00:00:00,True
55,23376,LaptopCadetBlue34213,Laptop,CadetBlue,34731,249,1231,2017-12-05 00:00:00,2017-12-31 00:00:00,False
65,23610,WatchDarkGray19875,Watch,DarkGray,19613,99,1664,2017-04-05 00:00:00,2017-06-08 00:00:00,False
62,23910,LaptopPaleVioletRed54261,Laptop,PaleVioletRed,18325,51,1774,2017-03-12 00:00:00,2017-04-11 00:00:00,False
65,24215,PhoneWhiteSmoke16458,Phone,WhiteSmoke,47475,180,5798,2017-04-09 00:00:00,2017-07-17 00:00:00,False
32,25073,StickerBisque37507,Sticker,Bisque,43818,386,6054,2017-11-12 00:00:00,2017-12-12 00:00:00,True
32,25724,JewelryTeal28465,Jewelry,Teal,17850,149,6235,2017-05-06 00:00:00,2017-10-16 00:00:00,True
62,27655,ClotherDarkViolet40648,Clother,DarkViolet,12687,126,2203,2017-01-06 00:00:00,2017-12-14 00:00:00,False
52,28171,PhoneLavender48332,Phone,Lavender,39148,30,5220,2017-09-19 00:00:00,2017-10-19 00:00:00,False
32,28526,BikeDarkTurquoise5485,Bike,DarkTurquoise,41591,290,7266,2017-08-01 00:00:00,2017-12-23 00:00:00,True
65,28595,LampGreenYellow17379,Lamp,GreenYellow,3614,262,6003,2017-09-27 00:00:00,2017-10-11 00:00:00,True
32,29292,LaptopAliceBlue2763,Laptop,AliceBlue,28062,223,9019,2017-09-26 00:00:00,2017-10-26 00:00:00,False
55,29356,WatchDarkKhaki29437,Watch,DarkKhaki,29538,103,7798,2017-04-12 00:00:00,2017-11-02 00:00:00,True
37,30690,BikeHotPink27417,Bike,HotPink,30462,443,4010,2017-04-17 00:00:00,2017-07-23 00:00:00,True
32,32987,LampPlum17180,Lamp,Plum,25597,85,2144,2017-10-09 00:00:00,2017-11-08 00:00:00,True
52,35026,ClotherGhostWhite26765,Clother,GhostWhite,36789,490,556,2017-05-14 00:00:00,2017-06-15 00:00:00,True
52,35171,MattressDarkSeaGreen2411,Mattress,DarkSeaGreen,12642,319,4922,2017-11-20 00:00:00,2017-12-20 00:00:00,True
62,35317,ClotherSilver43660,Clother,Silver,29895,305,6895,2017-05-09 00:00:00,2017-10-28 00:00:00,False
37,35720,LampCoral38357,Lamp,Coral,31227,225,1585,2017-03-06 00:00:00,2017-09-06 00:00:00,False
37,35809,JewelrySalmon4348,Jewelry,Salmon,16138,116,1940,2017-03-02 00:00:00,2017-06-18 00:00:00,True
55,37548,LampLightCyan39882,Lamp,LightCyan,12580,281,605,2017-08-03 00:00:00,2017-09-28 00:00:00,True
52,37867,JewelryDarkSlateGray33137,Jewelry,DarkSlateGray,19128,478,7970,2017-04-06 00:00:00,2017-09-05 00:00:00,False
55,38505,BikeForestGreen2436,Bike,ForestGreen,46732,269,2889,2017-11-27 00:00:00,2017-12-27 00:00:00,True
55,38953,StickerLightSalmon19764,Sticker,LightSalmon,47730,269,333,2017-05-28 00:00:00,2017-07-01 00:00:00,False
55,39233,LaptopHotPink25917,Laptop,HotPink,14728,148,9491,2017-05-03 00:00:00,2017-06-02 00:00:00,True
55,39506,BikeSlateGray10860,Bike,SlateGray,14166,323,1802,2017-12-01 00:00:00,2017-12-31 00:00:00,False
52,40110,MattressCornsilk48966,Mattress,Cornsilk,6532,369,7465,2017-11-21 00:00:00,2017-12-21 00:00:00,False
65,44060,BikeCoral43010,Bike,Coral,27559,338,1820,2017-08-12 00:00:00,2017-11-17 00:00:00,True
55,44313,ClotherIndianRed41205,Clother,IndianRed,46661,434,9160,2017-12-25 00:00:00,2017-12-31 00:00:00,True
65,44346,MattressLightGreen17363,Mattress,LightGreen,565,199,6439,2017-03-19 00:00:00,2017-04-18 00:00:00,False
37,45174,BikeDarkOrange53973,Bike,DarkOrange,48032,49,2515,2017-03-05 00:00:00,2017-05-12 00:00:00,True
32,46349,PhoneLawnGreen15162,Phone,LawnGreen,31658,470,9908,2017-12-21 00:00:00,2017-12-31 00:00:00,True
55,46425,StickerOlive6957,Sticker,Olive,27574,140,715,2017-11-07 00:00:00,2017-12-07 00:00:00,False
37,49023,BikeGold36718,Bike,Gold,43644,407,722,2017-11-20 00:00:00,2017-12-20 00:00:00,True
55,51301,BikeViolet41313,Bike,Violet,6438,427,9385,2017-10-20 00:00:00,2017-11-19 00:00:00,False
32,56297,ClotherGhostWhite7041,Clother,GhostWhite,30082,397,375,2017-07-05 00:00:00,2017-08-04 00:00:00,True
52,57504,LaptopLightSkyBlue18285,Laptop,LightSkyBlue,34379,169,6134,2017-02-20 00:00:00,2017-03-22 00:00:00,True
65,58349,LampTan26762,Lamp,Tan,8942,283,8845,2017-01-14 00:00:00,2017-10-07 00:00:00,False
55,59096,PhoneBurlyWood3498,Phone,BurlyWood,26673,489,4927,2017-06-25 00:00:00,2017-07-25 00:00:00,False
37,59116,LampGray19707,Lamp,Gray,39662,486,8715,2017-08-13 00:00:00,2017-09-12 00:00:00,False
