936,891 David Run,32.500700000000002,-94.740489999999994,40139,Longview,US,America,Chicago
1085,126 Jeffery Street,33.448720000000002,-86.787769999999995,97746,Vestavia Hills,US,America,Chicago
1440,003 Alexander Shoal Suite 105,41.242550000000001,-82.615729999999999,18307,Norwalk,US,America,New_York
1493,141 Charles Hollow Suite 620,34.639150000000001,-120.45793999999999,61728,Lompoc,US,America,Los_Angeles
2580,634 Strong Mountains,43.54072,-116.56346000000001,22707,Nampa,US,America,Boise
3535,774 Lewis Grove Apt. 002,42.933689999999999,-72.278139999999993,1008,Keene,US,America,New_York
4348,04075 Lauren Ways,33.352829999999997,-111.78903,49170,Gilbert,US,America,Phoenix
5250,533 Chambers Street,42.4251,-71.066159999999996,41425,Malden,US,America,New_York
5696,33060 Phillip Path,41.478920000000002,-87.454759999999993,59292,Schererville,US,America,Chicago
6650,00992 Garcia Plaza Suite 367,39.32011,-76.515519999999995,8386,Rosedale,US,America,New_York
6865,16207 Parks Burgs Suite 541,40.940649999999998,-73.996809999999996,9719,Dumont,US,America,New_York
6901,864 Ramos Port Apt. 211,40.605379999999997,-73.755129999999994,53089,Far Rockaway,US,America,New_York
7612,4329 Lee Mews,33.352829999999997,-111.78903,94393,Gilbert,US,America,Phoenix
7954,055 Alejandro Fort Suite 192,32.351260000000003,-95.301060000000007,924,Tyler,US,America,Chicago
8179,398 Wallace Ranch Suite 593,41.478920000000002,-87.454759999999993,24601,Schererville,US,America,Chicago
8496,73042 Kevin Village Suite 461,38.963720000000002,-76.990809999999996,74010,Chillum,US,America,New_York
9127,19489 Kyle Stream Apt. 578,38.963720000000002,-76.990809999999996,46873,Chillum,US,America,New_York
10174,123 Hudson Square,37.52487,-77.557770000000005,31344,Bon Air,US,America,New_York
12411,94711 Nancy Camp,38.060839999999999,-97.929770000000005,92162,Hutchinson,US,America,Chicago
13421,045 Sarah Fort,35.882640000000002,-80.081990000000005,25010,Thomasville,US,America,New_York
14154,88684 Dustin Port,41.242550000000001,-82.615729999999999,11515,Norwalk,US,America,New_York
14529,87115 Rodriguez Plaza,41.478920000000002,-87.454759999999993,93111,Schererville,US,America,Chicago
15690,769 Johnson Well,43.54072,-116.56346000000001,55318,Nampa,US,America,Boise
18348,76104 Marsh Crescent,42.241129999999998,-88.316199999999995,17988,Crystal Lake,US,America,Chicago
18992,16396 Shawn Junction,20.889530000000001,-156.47432000000001,13914,Kahului,US,America,Honolulu
21639,56627 Alexandria Curve Apt. 275,40.646210000000004,-73.970690000000005,56506,Kensington,US,America,New_York
21793,12309 Anthony Roads Apt. 991,40.680660000000003,-73.474289999999996,12498,Massapequa,US,America,New_York
22119,159 Blake Estates Apt. 945,41.503430000000002,-74.010419999999996,72391,Newburgh,US,America,New_York
24257,90321 Clark Union,32.540439999999997,-82.903750000000002,89544,Dublin,US,America,New_York
24669,65735 Farley Course Apt. 141,36.208289999999998,-115.98390999999999,79871,Pahrump,US,America,Los_Angeles
25967,45439 Austin Turnpike Suite 485,39.091119999999997,-94.415509999999998,69993,Independence,US,America,Chicago
